id,repo_name,tag_name,prerelease,published_at,cve_id,artifact_name,artifact_version,severity,cvss_version,vector_string,base_score,impact_score,exploitability_score
3,kubernetes/kubernetes,v1.28.11,0,2024-06-11 23:48:05.000,CVE-2024-51744,github.com/golang-jwt/jwt/v4,v4.5.0,N/A,N/A,N/A,0,0,0
3,kubernetes/kubernetes,v1.28.11,0,2024-06-11 23:48:05.000,CVE-2024-21626,github.com/opencontainers/runc,v1.1.7,HIGH,CVSSv3.1,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H,8.6,6,1.8
3,kubernetes/kubernetes,v1.28.11,0,2024-06-11 23:48:05.000,CVE-2024-45310,github.com/opencontainers/runc,v1.1.7,N/A,N/A,N/A,0,0,0
3,kubernetes/kubernetes,v1.28.11,0,2024-06-11 23:48:05.000,CVE-2023-45142,go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp,v0.35.1,HIGH,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,3.6,3.9
3,kubernetes/kubernetes,v1.28.11,0,2024-06-11 23:48:05.000,CVE-2023-47108,go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc,v0.35.0,HIGH,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,3.6,3.9
3,kubernetes/kubernetes,v1.28.11,0,2024-06-11 23:48:05.000,CVE-2024-45337,golang.org/x/crypto,v0.21.0,N/A,N/A,N/A,0,0,0
3,kubernetes/kubernetes,v1.28.11,0,2024-06-11 23:48:05.000,CVE-2023-48795,golang.org/x/crypto,v0.11.0,MEDIUM,CVSSv3.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N,5.9,3.6,2.2
3,kubernetes/kubernetes,v1.28.11,0,2024-06-11 23:48:05.000,CVE-2024-45338,golang.org/x/net,v0.23.0,N/A,N/A,N/A,0,0,0
3,kubernetes/kubernetes,v1.28.11,0,2024-06-11 23:48:05.000,CVE-2023-45288,golang.org/x/net,v0.17.0,N/A,N/A,N/A,0,0,0
3,kubernetes/kubernetes,v1.28.11,0,2024-06-11 23:48:05.000,CVE-2024-24786,google.golang.org/protobuf,v1.31.0,N/A,N/A,N/A,0,0,0
3,kubernetes/kubernetes,v1.28.11,0,2024-06-11 23:48:05.000,CVE-2024-28180,gopkg.in/square/go-jose.v2,v2.6.0,N/A,N/A,N/A,0,0,0
3,kubernetes/kubernetes,v1.29.6,0,2024-06-12 03:42:42.000,CVE-2024-28180,gopkg.in/square/go-jose.v2,v2.6.0,N/A,N/A,N/A,0,0,0
3,kubernetes/kubernetes,v1.29.6,0,2024-06-12 03:42:42.000,CVE-2024-24786,google.golang.org/protobuf,v1.28.0,N/A,N/A,N/A,0,0,0
3,kubernetes/kubernetes,v1.29.6,0,2024-06-12 03:42:42.000,CVE-2024-45338,golang.org/x/net,v0.23.0,N/A,N/A,N/A,0,0,0
3,kubernetes/kubernetes,v1.29.6,0,2024-06-12 03:42:42.000,CVE-2023-48795,golang.org/x/crypto,v0.14.0,MEDIUM,CVSSv3.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N,5.9,3.6,2.2
3,kubernetes/kubernetes,v1.29.6,0,2024-06-12 03:42:42.000,CVE-2024-45337,golang.org/x/crypto,v0.21.0,N/A,N/A,N/A,0,0,0
