id,repo_name,tag_name,prerelease,published_at,cve_id,artifact_name,artifact_version,severity,cvss_version,vector_string,base_score,impact_score,exploitability_score
6,vercel/next.js,v15.2.0-canary.50,1,2025-02-10 23:29:34.000,CVE-2025-25200,koa,2.13.4,N/A,N/A,N/A,0,0,0
6,vercel/next.js,v15.2.0-canary.50,1,2025-02-10 23:29:34.000,CVE-2025-23207,katex,0.16.10,N/A,N/A,N/A,0,0,0
6,vercel/next.js,v15.2.0-canary.50,1,2025-02-10 23:29:34.000,CVE-2022-23541,jsonwebtoken,8.5.1,MEDIUM,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,6.3,3.4,2.8
6,vercel/next.js,v15.2.0-canary.50,1,2025-02-10 23:29:34.000,CVE-2022-23540,jsonwebtoken,8.5.1,HIGH,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:H/A:L,7.6,4.7,2.8
6,vercel/next.js,v15.2.0-canary.50,1,2025-02-10 23:29:34.000,CVE-2022-23539,jsonwebtoken,8.5.1,HIGH,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,8.1,5.2,2.8
6,vercel/next.js,v15.2.0-canary.50,1,2025-02-10 23:29:34.000,CVE-2021-23807,jsonpointer,4.1.0,CRITICAL,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,5.9,3.9
6,vercel/next.js,v15.2.0-canary.50,1,2025-02-10 23:29:34.000,CVE-2022-46175,json5,2.2.1,HIGH,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,8.8,5.9,2.8
6,vercel/next.js,v15.2.0-canary.50,1,2025-02-10 23:29:34.000,CVE-2021-3918,json-schema,0.2.3,CRITICAL,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,5.9,3.9
6,vercel/next.js,v15.2.0-canary.50,1,2025-02-10 23:29:34.000,CVE-2020-8237,json-bigint,0.3.1,HIGH,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,3.6,3.9
6,vercel/next.js,v15.2.0-canary.50,1,2025-02-10 23:29:34.000,CVE-2020-8175,jpeg-js,0.3.7,MEDIUM,CVSSv3.1,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,5.5,3.6,1.8
6,vercel/next.js,v15.2.0-canary.50,1,2025-02-10 23:29:34.000,CVE-2022-25851,jpeg-js,0.3.7,HIGH,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,3.6,3.9
6,vercel/next.js,v15.2.0-canary.50,1,2025-02-10 23:29:34.000,CVE-2024-28176,jose,2.0.6,N/A,N/A,N/A,0,0,0
6,vercel/next.js,v15.2.0-canary.50,1,2025-02-10 23:29:34.000,CVE-2021-28092,is-svg,3.0.0,HIGH,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,3.6,3.9
6,vercel/next.js,v15.2.0-canary.50,1,2025-02-10 23:29:34.000,CVE-2021-29059,is-svg,3.0.0,HIGH,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,3.6,3.9
6,vercel/next.js,v15.2.0-canary.50,1,2025-02-10 23:29:34.000,CVE-2023-42282,ip,2.0.0,CRITICAL,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,5.9,3.9
6,vercel/next.js,v15.2.0-canary.50,1,2025-02-10 23:29:34.000,CVE-2024-29415,ip,2.0.0,N/A,N/A,N/A,0,0,0
6,vercel/next.js,v15.2.0-canary.50,1,2025-02-10 23:29:34.000,CVE-2022-25881,http-cache-semantics,4.1.0,HIGH,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,3.6,3.9
6,vercel/next.js,v15.2.0-canary.50,1,2025-02-10 23:29:34.000,CVE-2021-23362,hosted-git-info,2.8.5,MEDIUM,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3,1.4,3.9
6,vercel/next.js,v15.2.0-canary.50,1,2025-02-10 23:29:34.000,CVE-2023-26964,h2,0.3.7,HIGH,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,3.6,3.9
6,vercel/next.js,v15.2.0-canary.50,1,2025-02-10 23:29:34.000,CVE-2022-33987,got,9.6.0,MEDIUM,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,5.3,1.4,3.9
6,vercel/next.js,v15.2.0-canary.50,1,2025-02-10 23:29:34.000,CVE-2022-0536,follow-redirects,1.9.0,MEDIUM,CVSSv3.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,5.9,3.6,2.2
6,vercel/next.js,v15.2.0-canary.50,1,2025-02-10 23:29:34.000,CVE-2022-0155,follow-redirects,1.9.0,MEDIUM,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,6.5,3.6,2.8
