id,repo_name,tag_name,prerelease,published_at,cve_id,artifact_name,artifact_version,severity,cvss_version,vector_string,base_score,impact_score,exploitability_score
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2024-29415,ip,1.1.5,N/A,N/A,N/A,0,0,0
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2023-42282,ip,1.1.5,CRITICAL,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,5.9,3.9
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2021-3918,json-schema,0.2.3,CRITICAL,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,5.9,3.9
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2022-46175,json5,2.1.0,HIGH,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,8.8,5.9,2.8
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2021-23413,jszip,3.1.5,MEDIUM,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3,1.4,3.9
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2022-48285,jszip,3.1.5,HIGH,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L,7.3,3.4,3.9
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2021-23495,karma,3.1.4,MEDIUM,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,6.1,2.7,2.8
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2022-0437,karma,3.1.4,MEDIUM,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,6.1,2.7,2.8
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2019-20149,kind-of,6.0.2,HIGH,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,7.5,3.6,3.9
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2022-37601,loader-utils,1.2.3,CRITICAL,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,5.9,3.9
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2022-37599,loader-utils,1.2.3,HIGH,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,3.6,3.9
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2022-37603,loader-utils,1.2.3,HIGH,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,3.6,3.9
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2019-10744,lodash.defaultsdeep,4.3.2,CRITICAL,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:H,9.1,5.2,3.9
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2020-8203,lodash,4.17.5,HIGH,CVSSv3.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:H,7.4,5.2,2.2
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2021-23337,lodash.template,4.4.0,HIGH,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,7.2,5.9,1.2
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2020-28500,lodash,4.17.5,MEDIUM,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3,1.4,3.9
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2018-16487,lodash,4.17.5,MEDIUM,CVSSv3.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:L,5.6,3.4,2.2
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2019-1010266,lodash,4.17.5,MEDIUM,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,6.5,3.6,2.8
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2022-21704,log4js,3.0.6,MEDIUM,CVSSv3.1,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,5.5,3.6,1.8
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2020-28499,merge,1.2.1,CRITICAL,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,5.9,3.9
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2024-4067,micromatch,3.1.10,N/A,N/A,N/A,0,0,0
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2022-3517,minimatch,3.0.4,HIGH,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,3.6,3.9
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2021-44906,minimist,1.2.0,CRITICAL,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,5.9,3.9
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2020-7598,minimist,1.2.0,MEDIUM,CVSSv3.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:L,5.6,3.4,2.2
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2019-10746,mixin-deep,1.3.1,CRITICAL,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,5.9,3.9
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2017-20162,ms,0.7.1,MEDIUM,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3,1.4,3.9
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2021-28918,netmask,1.0.6,CRITICAL,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1,5.2,3.9
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2021-29418,netmask,1.0.6,MEDIUM,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,5.3,1.4,3.9
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2022-0235,node-fetch,1.6.3,MEDIUM,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,6.1,2.7,2.8
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2024-36751,parseuri,0.0.5,N/A,N/A,N/A,0,0,0
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2021-23343,path-parse,1.0.6,HIGH,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,3.6,3.9
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2019-5786,puppeteer,1.11.0,MEDIUM,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,6.5,3.6,2.8
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2022-24999,qs,6.5.2,HIGH,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,3.6,3.9
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2017-1000048,qs,2.3.3,HIGH,CVSSv3.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,3.6,3.9
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2023-28155,request,2.88.0,MEDIUM,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,6.1,2.7,2.8
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2024-47068,rollup,1.0.2,MEDIUM,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,6.1,2.7,2.8
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2022-25883,semver,5.6.0,HIGH,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,3.6,3.9
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2020-7660,serialize-javascript,1.6.1,HIGH,CVSSv3.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,8.1,5.9,2.2
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2019-16769,serialize-javascript,1.6.1,MEDIUM,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,5.4,2.7,2.3
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2019-10747,set-value,2.0.0,CRITICAL,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,5.9,3.9
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2021-23440,set-value,2.0.0,CRITICAL,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,5.9,3.9
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2022-0144,shelljs,0.8.3,HIGH,CVSSv3.1,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:H,7.1,5.2,1.8
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2022-25860,simple-git,1.107.0,CRITICAL,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,5.9,3.9
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2022-25912,simple-git,1.107.0,CRITICAL,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,5.9,3.9
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2022-24433,simple-git,1.107.0,CRITICAL,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,5.9,3.9
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2022-24066,simple-git,1.107.0,CRITICAL,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,5.9,3.9
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2020-28481,socket.io,2.1.1,MEDIUM,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,4.3,1.4,2.8
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2024-38355,socket.io,2.1.1,N/A,N/A,N/A,0,0,0
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2023-45133,babel-traverse,6.26.0,HIGH,CVSSv3.1,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,8.8,6,2
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2020-15366,ajv,6.6.2,MEDIUM,CVSSv3.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:L,5.6,3.4,2.2
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2021-3807,ansi-regex,4.0.0,HIGH,CVSSv3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,3.6,3.9
5,vuejs/vue,v2.6.3,0,2019-02-06 21:53:10.000,CVE-2021-43138,async,2.6.1,HIGH,CVSSv3.1,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,5.9,1.8
